REPORT,DATE,STATE,QUARANTINE,21.DAY,COUNTIES,POS_EQUINE,POS_BOVINE,POS_PORCINE,POS_OVINE,POS_CAPRINE,POS_OTHER,SUSC_EQUINE,SUSC_BOVINE,SUSC_PORCINE,SUSC_OVINE,SUSC_CAPRINE,SUSC_OTHER,CUM_POS_QUARANTINE,CUM_POS_COUNTIES,CUM_POS_EQUINE,CUM_POS_BOVINE,CUM_POS_PORCINE,CUM_POS_OVINE,CUM_POS_CAPRINE,CUM_POS_OTHER,CUM_SUSC_EQUINE,CUM_SUSC_BOVINE,CUM_SUSC_PORCINE,CUM_SUSC_OVINE,CUM_SUSC_CAPRINE,CUM_SUSC_OTHER
1,05/27/2014,TEXAS,1,0,1,4,0,0,0,0,0,61,4,0,0,11,0,1,1,4,0,0,0,0,0,61,4,0,0,11,0
2,06/06/2014,TEXAS,2,0,2,5,0,0,0,0,0,64,4,0,0,11,0,2,2,5,0,0,0,0,0,64,4,0,0,11,0
3,06/18/2014,TEXAS,5,1,3,9,0,0,0,0,0,76,4,0,0,11,0,5,3,9,0,0,0,0,0,76,4,0,0,11,0
4,06/20/2014,TEXAS,6,2,4,10,0,0,0,0,0,77,4,0,0,11,0,6,4,10,0,0,0,0,0,77,4,0,0,11,0
5,06/26/2014,TEXAS,6,2,4,10,0,0,0,0,0,77,4,0,0,11,0,6,4,10,0,0,0,0,0,77,4,0,0,11,0
6,07/03/2014,TEXAS,7,4,4,11,0,0,0,0,0,88,4,0,0,13,0,7,4,11,0,0,0,0,0,88,4,0,0,13,0
7,07/08/2014,TEXAS,7,6,4,7,2,0,0,0,0,29,77,0,0,2,0,8,5,11,2,0,0,0,0,90,81,0,0,13,0
8,07/11/2014,TEXAS,9,6,6,11,2,0,0,0,0,36,77,0,4,16,0,10,7,15,2,0,0,0,0,97,81,0,4,27,0
9,07/17/2014,COLORADO,2,0,1,4,0,0,0,0,0,17,7,0,0,0,0,2,1,4,0,0,0,0,0,17,7,0,0,0,0
9,07/17/2014,TEXAS,9,7,6,11,2,0,0,0,0,36,77,0,4,16,0,10,7,15,2,0,0,0,0,97,81,0,4,27,0
10,07/21/2014,COLORADO,3,0,2,5,0,0,0,0,0,42,15,0,0,0,0,3,0,5,0,0,0,0,0,42,15,0,0,0,0
10,07/21/2014,TEXAS,11,6,7,17,2,0,0,0,0,66,80,0,4,14,0,11,6,17,2,0,0,0,0,66,80,0,4,14,0
11,07/24/2014,COLORADO,7,0,2,10,0,0,0,0,0,112,15,0,0,1,0,7,2,10,0,0,0,0,0,112,15,0,0,1,0
11,07/24/2014,TEXAS,17,4,6,25,2,0,0,0,0,148,82,0,4,14,2,21,8,25,2,0,0,0,0,148,82,0,4,14,2
12,07/30/2014,COLORADO,28,0,4,37,0,0,0,0,0,306,28,0,0,9,0,28,4,37,0,0,0,0,0,306,28,0,0,9,0
12,07/30/2014,TEXAS,29,4,6,40,4,0,0,0,0,303,1851,3,4,17,2,35,9,50,4,0,0,0,0,388,1855,3,4,30,2
13,08/06/2014,COLORADO,69,11,6,109,1,0,0,0,0,1133,139,0,44,19,6,69,6,109,1,0,0,0,0,1133,139,0,44,19,6
13,08/06/2014,TEXAS,33,4,5,48,2,0,0,0,0,341,1834,3,4,17,2,41,10,59,4,0,0,0,0,431,1915,3,4,30,2
14,08/14/2014,COLORADO,133,42,8,201,3,0,0,0,0,1734,216,10,44,24,23,133,8,201,3,0,0,0,0,1734,216,10,44,24,23
14,08/14/2014,TEXAS,45,19,6,65,5,0,0,0,0,472,1887,3,4,51,2,53,11,76,7,0,0,0,0,562,1968,3,4,64,2
15,08/20/2014,COLORADO,184,49,8,262,3,0,0,0,0,2308,326,17,44,92,30,186,8,265,3,0,0,0,0,2321,334,17,44,93,30
15,08/20/2014,TEXAS,44,30,4,63,5,0,0,0,0,446,1884,3,4,51,2,55,11,78,7,0,0,0,0,566,1968,3,4,64,2
16,08/27/2014,COLORADO,205,59,8,291,7,0,0,0,0,2498,355,17,69,111,32,222,8,313,7,0,0,0,0,2649,393,17,69,112,32
16,08/27/2014,TEXAS,42,30,4,58,6,0,0,0,0,403,1939,3,0,37,2,57,11,79,8,0,0,0,0,570,2023,3,4,64,2
17,09/03/2014,COLORADO,208,69,9,288,7,0,0,0,0,2497,351,18,32,125,79,248,9,344,7,0,0,0,0,2925,402,18,72,129,82
17,09/03/2014,TEXAS,35,23,5,48,4,0,0,0,0,280,1870,3,0,37,2,58,12,82,8,0,0,0,0,607,2023,3,4,64,2
18,09/10/2014,COLORADO,189,82,12,261,5,0,0,0,0,2025,121,10,34,113,77,277,13,389,7,0,0,0,0,3262,426,18,78,134,82
18,09/10/2014,TEXAS,31,20,4,42,4,0,0,0,0,254,1870,0,0,35,2,58,12,82,8,0,0,0,0,607,2023,3,4,64,2